id,jobname,joburl,jobcategory,companyname,companyurl,companycategory
Edge6,Senior PHP+Node engineer,https://forms.gle/4CVr9CvubFhD3jG17,ENGINEERING,Edge,https://edge.network/en/careers/,Infra
Edge7,Product manager,https://forms.gle/4CVr9CvubFhD3jG17,PRODUCT,Edge,https://edge.network/en/careers/,Infra
nomos1,Distributed Systems (Network) Engineer,https://boards.greenhouse.io/nomos/jobs/6011319,ENGINEERING,Nomos,https://nomos.tech/join-us/,Infra
nomos2,Engineer & Applied Researcher (Distributed Systems),https://boards.greenhouse.io/nomos/jobs/6011318,ENGINEERING,Nomos,https://nomos.tech/join-us/,Infra
ritual1,Backend Engineer,https://boards.greenhouse.io/ritual/jobs/4083926007,ENGINEERING,Ritual,https://boards.greenhouse.io/ritual,Infra
ritual2,Growth Engineer,https://boards.greenhouse.io/ritual/jobs/4324604007,MARKETING,Ritual,https://boards.greenhouse.io/ritual,Infra
ritual3,Machine Learning Engineer,https://boards.greenhouse.io/ritual/jobs/4029531007,ENGINEERING,Ritual,https://boards.greenhouse.io/ritual,Infra
ritual4,Smart Contract Engineer,https://boards.greenhouse.io/ritual/jobs/4135728007,ENGINEERING,Ritual,https://boards.greenhouse.io/ritual,Infra
ritual5,General Application,https://boards.greenhouse.io/ritual/jobs/4135918007,OTHER,Ritual,https://boards.greenhouse.io/ritual,Infra
ritual5,Research Intern,https://boards.greenhouse.io/ritual/jobs/4358496007,RESEARCH,Ritual,https://boards.greenhouse.io/ritual,Infra
ritual6,Software Engineer Intern,https://boards.greenhouse.io/ritual/jobs/4068271007,ENGINEERING,Ritual,https://boards.greenhouse.io/ritual,Infra
